roi,i2c2_m,i2c2_r,i2c2_diff,i2c2_p,i2c2_m_better,discr_m,discr_r,discr_diff,discr_p,discr_m_better,finger_m,finger_r,finger_diff,finger_p,finger_m_better
70,0.381201708,0.257492218,0.12370949,0.692718502,0,0.938094631,0.904264356,0.033830275,0.393632278,0,0.642201835,0.541284404,0.100917431,0.387662857,0
71,0.329813933,0.328835937,0.000977996,1,0,0.94011213,0.935718553,0.004393578,0.989002522,0,0.633027523,0.623853211,0.009174312,0.995968269,0
72,0.389834767,0.274370288,0.11546448,0.518545553,0,0.94120157,0.913221113,0.027980457,0.550485195,0,0.532110092,0.449541284,0.082568807,0.639463573,0
73,0.449861629,0.45154095,-0.001679321,1,0,0.968357119,0.943446313,0.024910805,0.478391931,0,0.80733945,0.660550459,0.146788991,0.05258625,0
74,0.53082707,0.393475414,0.137351656,0.530802674,0,0.948659956,0.925989636,0.022670319,0.651982432,0,0.724770642,0.550458716,0.174311927,0.022227068,1
75,0.451081069,0.312578496,0.138502574,0.586335294,0,0.954850493,0.924699181,0.030151312,0.447399408,0,0.76146789,0.596330275,0.165137615,0.046947097,1
76,0.386090585,0.217457307,0.168633278,0.437880357,0,0.939390078,0.887630142,0.051759936,0.138658537,0,0.596330275,0.449541284,0.146788991,0.175244037,0
77,0.317855962,0.340015786,-0.022159825,0.978887973,0,0.911325603,0.914010497,-0.002684894,0.989002522,0,0.449541284,0.504587156,-0.055045872,0.798285315,0
78,0.53618612,0.402428736,0.133757384,0.522041935,0,0.952960415,0.929939687,0.023020727,0.540374211,0,0.614678899,0.577981651,0.036697248,0.922043228,0
79,0.555014355,0.420585625,0.13442873,0.621595755,0,0.963430173,0.891915138,0.071515036,0.010061947,1,0.678899083,0.47706422,0.201834862,0.013265,1
80,0.576426826,0.475033231,0.101393595,0.657216592,0,0.956114084,0.897150017,0.058964067,0.027811511,1,0.587155963,0.449541284,0.137614679,0.151954206,0
81,0.500226766,0.351450959,0.148775807,0.527348525,0,0.959756201,0.889228678,0.070527523,0.004787368,1,0.706422018,0.486238532,0.220183486,0,1
82,0.457965616,0.417065406,0.04090021,0.95294041,0,0.950358902,0.944306405,0.006052497,0.974646977,0,0.660550459,0.605504587,0.055045872,0.825922998,0
83,0.356593291,0.387083214,-0.030489923,0.989002522,0,0.953223673,0.937393816,0.015829857,0.793847653,0,0.623853211,0.605504587,0.018348624,0.989002522,0
84,0.327740486,0.334165516,-0.00642503,1,0,0.944656813,0.941980972,0.002675841,0.989002522,0,0.651376147,0.743119266,-0.091743119,0.4548,0
85,0.343257912,0.416692636,-0.073434724,0.799238342,0,0.92421915,0.945293918,-0.021074768,0.691737748,0,0.568807339,0.568807339,0,1,0
86,0.280703361,0.333070671,-0.05236731,0.932280315,0,0.940791709,0.931702345,0.009089365,0.941045839,0,0.559633028,0.633027523,-0.073394495,0.64697631,0
87,0.327438394,0.279792807,0.047645587,0.941045839,0,0.93733999,0.90920192,0.02813807,0.644213272,0,0.623853211,0.614678899,0.009174312,0.989002522,0
88,0.288767913,0.242543776,0.046224137,0.920264276,0,0.689804147,0.650654975,0.039149172,0.206291139,0,0.04587156,0.04587156,0,1,0
89,0.295664003,0.315619392,-0.019955389,0.989002522,0,0.869627081,0.864912504,0.004714577,0.989002522,0,0.229357798,0.266055046,-0.036697248,0.862417161,0
90,0.438676684,0.261311093,0.177365592,0.303747292,0,0.760183062,0.735543124,0.024639937,0.705333766,0,0.064220183,0.082568807,-0.018348624,0.960550472,0
91,0.303950578,0.31939984,-0.015449262,0.989002522,0,0.880461683,0.875244224,0.005217459,0.989002522,0,0.266055046,0.321100917,-0.055045872,0.750153516,0
92,0.311845038,0.347312885,-0.035467847,0.974533566,0,0.79813108,0.787837088,0.010293992,0.941922264,0,0.155963303,0.100917431,0.055045872,0.32215,0
93,0.226750227,0.295914318,-0.069164091,0.941922264,0,0.516534392,0.507520481,0.00901391,0.77426306,0,0,0,0,1,0
94,0.204436446,0.259946304,-0.055509858,0.932280315,0,0.780145685,0.727833248,0.052312437,0.112477419,0,0.100917431,0.055045872,0.04587156,0.705333766,0
95,0.451718695,0.439159877,0.012558819,1,0,0.954215736,0.889961349,0.064254388,0.002584091,1,0.577981651,0.458715596,0.119266055,0.206291139,0
96,0.345326714,0.356621284,-0.01129457,0.998912488,0,0.920404349,0.892159361,0.028244988,0.60676707,0,0.422018349,0.47706422,-0.055045872,0.790348644,0
97,0.414523896,0.384064068,0.030459828,0.987817312,0,0.948744903,0.915381838,0.033363065,0.406326019,0,0.623853211,0.587155963,0.036697248,0.925622764,0
